SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,3172 Via Alicante Unit F,La Jolla,CA,92037,629000,1,1.0,La Jolla,691,,1972,13,910,300,Active,,,https://www.redfin.com/CA/La-Jolla/3172-Via-Alicante-92037/unit-F/home/4885469,SDMLS,220022653,N,Y,32.8614029,-117.2336589
MLS Listing,,Single Family Residential,2859 CAMINITO MERION,La Jolla,CA,92037,2695000,4,3.5,92037 - La Jolla,3059,416433,1977,13,881,632,Active,,,https://www.redfin.com/CA/La-Jolla/2859-Caminito-Merion-92037/home/4925651,CRMLS,NDP2209127,N,Y,32.8377156,-117.2398929
MLS Listing,,Single Family Residential,9342 Loren Dr,La Mesa,CA,91942,1295000,5,3.0,La Mesa,2841,20400,1960,12,456,,Active,,,https://www.redfin.com/CA/La-Mesa/9342-Loren-Dr-91942/home/5588718,SDMLS,220022644,N,Y,32.7840581,-116.9949458
MLS Listing,,Condo/Co-op,11240 Poblado Rd,San Diego,CA,92127,969000,4,2.5,Rancho Bernardo,1578,322000,1971,13,614,460,Active,September-17-2022 01:00 PM,September-17-2022 04:00 PM,https://www.redfin.com/CA/San-Diego/11240-Poblado-Rd-92127/home/4227148,SDMLS,220022608,N,Y,33.028742,-117.0873926
MLS Listing,,Single Family Residential,5415 Waverly Ave,La Jolla,CA,92037,2350000,3,2.0,La Jolla,1540,,1965,13,1526,,Active,,,https://www.redfin.com/CA/La-Jolla/5415-Waverly-Ave-92037/home/4938024,SDMLS,220022558,N,Y,32.8122123,-117.2633824
MLS Listing,,Single Family Residential,17013 Castello Cir,San Diego,CA,92127,3495000,6,5.5,92127 - Rancho Bernardo,6189,30492,2002,13,565,320,Active,,,https://www.redfin.com/CA/San-Diego/17013-Castello-Cir-92127/home/6493387,CRMLS,PTP2205862,N,Y,33.0249794,-117.1199261
MLS Listing,,Single Family Residential,10514 Hollingsworth Way,San Diego,CA,92127,1300000,4,2.5,San Diego,1957,,2005,14,664,195,Active,,,https://www.redfin.com/CA/San-Diego/10514-Hollingsworth-Way-92127/home/6791339,SDMLS,220022498,N,Y,33.0230247,-117.1093023
MLS Listing,,Condo/Co-op,7405 Charmant #1927,San Diego,CA,92122,800000,2,2.0,University City,934,,1987,8,857,397,Active,,,https://www.redfin.com/CA/San-Diego/7405-Charmant-Dr-92122/unit-1927/home/6789670,SDMLS,220022459,N,Y,32.864306,-117.2284322
MLS Listing,,Single Family Residential,7878 Lusardi Creek Ln,San Diego,CA,92127,1199000,2,2.0,Rancho Bernardo,1276,,2016,14,940,292,Active,September-17-2022 02:00 PM,September-17-2022 04:00 PM,https://www.redfin.com/CA/San-Diego/7878-Lusardi-Creek-Ln-92127/home/125756003,SDMLS,220022448,N,Y,33.0062757,-117.1422235
MLS Listing,,Condo/Co-op,7811 Eads #104,La Jolla,CA,92037,1000000,2,2.0,La Jolla,1158,,1969,14,864,475,Pre On-Market,,,https://www.redfin.com/CA/La-Jolla/7811-Eads-Ave-92037/unit-104/home/4905844,SDMLS,220022438,N,Y,32.8449217,-117.2762916
MLS Listing,,Single Family Residential,5485 Calumet Ave,La Jolla,CA,92037,4399999,3,3.0,92037 - La Jolla,2588,5915,1976,9,1700,,Active,September-18-2022 12:00 AM,September-18-2022 11:59 PM,https://www.redfin.com/CA/La-Jolla/5485-Calumet-Ave-92037/home/4937651,CRMLS,SW22187952,N,Y,32.8115904,-117.269242
MLS Listing,,Single Family Residential,6101 La Jolla Mesa Dr,La Jolla,CA,92037,5599500,6,6.0,92037 - La Jolla,4866,44431,1954,15,1151,,Active,,,https://www.redfin.com/CA/La-Jolla/6101-La-Jolla-Mesa-Dr-92037/home/4938942,CRMLS,NDP2209032,N,Y,32.8258559,-117.2585638
MLS Listing,,Single Family Residential,8049 Run Of The Knls,San Diego,CA,92127,3495000,4,3.5,92127 - Rancho Bernardo,4112,18152,2003,15,850,550,Active,,,https://www.redfin.com/CA/San-Diego/8049-Run-of-the-Knls-92127/home/6481889,CRMLS,NDP2209019,N,Y,32.9981759,-117.1518889
MLS Listing,,Townhouse,7405 Charmant Dr #2008,San Diego,CA,92122,783000,2,2.0,University City,934,,1987,15,838,397,Active,,,https://www.redfin.com/CA/San-Diego/7405-Charmant-Dr-92122/unit-2008/home/7536579,SDMLS,220022383,N,Y,32.864306,-117.2284322
MLS Listing,,Single Family Residential,7856 La Jolla Vista Dr,La Jolla,CA,92037,6898000,5,3.5,La Jolla,3842,66235,1959,15,1795,,Active,,,https://www.redfin.com/CA/La-Jolla/7856-La-Jolla-Vista-Dr-92037/home/4880963,SDMLS,220022376,N,Y,32.8478203,-117.240513
MLS Listing,,Condo/Co-op,17161 Alva Rd #2416,San Diego,CA,92127,525000,2,2.0,Rancho Bernardo,968,20571,1992,13,542,389,Active,,,https://www.redfin.com/CA/San-Diego/17161-Alva-Rd-92127/unit-2416/home/6260935,SDMLS,220022359,N,Y,33.0243542,-117.1050914
MLS Listing,,Single Family Residential,6324 La Pintura Dr,La Jolla,CA,92037,5995000,6,6.0,La Jolla,5115,23100,2013,16,1172,,Active,,,https://www.redfin.com/CA/La-Jolla/6324-La-Pintura-Dr-92037/home/4922325,SDMLS,220022333,N,Y,32.8293765,-117.252593
MLS Listing,,Condo/Co-op,7780 Parkway Dr #504,La Mesa,CA,91942,600000,3,2.0,91942 - La Mesa,1321,,1982,16,454,410,Active,September-17-2022 12:00 PM,September-17-2022 02:00 PM,https://www.redfin.com/CA/La-Mesa/7780-Parkway-Dr-91942/unit-504/home/5454030,CRMLS,PTP2205798,N,Y,32.7749267,-117.0294568
MLS Listing,,Single Family Residential,17868 Valladares Dr,San Diego,CA,92127,1295888,4,2.5,92127 - Rancho Bernardo,1745,6251,1979,16,743,43,Active,,,https://www.redfin.com/CA/San-Diego/17868-Valladares-Dr-92127/home/6262440,CRMLS,NDP2208999,N,Y,33.0367468,-117.0788336
MLS Listing,,Single Family Residential,17060 Palacio Ct,San Diego,CA,92127,1100000,4,2.0,92128 - Rancho Bernardo,1736,9583,1972,17,634,41,Active,,,https://www.redfin.com/CA/San-Diego/17060-Palacio-Ct-92127/home/4226893,CRMLS,NDP2208987,N,Y,33.0254347,-117.0906474
MLS Listing,,Condo/Co-op,8132 Camino del Sol Unit E,La Jolla,CA,92037,1540000,2,2.0,La Jolla,1148,,1987,17,1341,865,Active,,,https://www.redfin.com/CA/La-Jolla/8132-Camino-del-Sol-92037/unit-E/home/4876377,SDMLS,220022287,N,Y,32.8547858,-117.2569333
MLS Listing,,Single Family Residential,924 Sandpiper Pl,La Jolla,CA,92037,2495000,4,2.5,La Jolla,1781,13200,1960,17,1401,,Active,,,https://www.redfin.com/CA/La-Jolla/924-Sandpiper-Pl-92037/home/4936372,SDMLS,220022282,N,Y,32.8172548,-117.2629959
MLS Listing,,Condo/Co-op,8803 Gilman Dr Unit H,La Jolla,CA,92037,749000,2,1.5,La Jolla,885,197730,1980,18,846,432,Active,,,https://www.redfin.com/CA/La-Jolla/8803-Gilman-Dr-92037/unit-H/home/4866720,SDMLS,220022273,N,Y,32.8677788,-117.2372517
MLS Listing,,Single Family Residential,1703 Calle De Andluca,La Jolla,CA,92037,3495000,4,2.5,La Jolla,2676,10822,1975,18,1306,,Active,September-18-2022 12:00 PM,September-18-2022 03:00 PM,https://www.redfin.com/CA/La-Jolla/1703-Calle-De-Andluca-92037/home/4943813,SDMLS,220022262,N,Y,32.8206827,-117.2455196
